synonym	entrez
GRAMD1B	57476
AREG	374
DIO2	1734
PDK4	5166
CGA	1081
SH2D2A	9047
PDE3A	5139
THBD	7056
CXCR4	7852
NR4A3	8013
NR4A2	4929
STC1	6781
RHCG	51458
DUSP4	1846
FGF18	8817
C11orf96	387763
CTH	1491
CTH	23584
RASD1	51655
FAM167A	83648
KIFC1	3833
TNFSF15	9966
IL11	3589
DUSP2	1844
DAW1	164781
RSPO3	84870
TNFRSF1B	7133
CHRNA9	55584
GNAL	2774
SLC7A2	6542
FGL2	10875
CHMP1B	57132
DNASE1L3	1776
FOSB	2354
STAMBPL1	57559
AGTR1	185
AKTIP	64400
NPTX1	4884
CASP9	842
SORBS1	10580
AVPI1	60370
ZCCHC12	170261
RAB7B	338382
IKZF2	22807
PTHLH	5744
SOCS2	8835
CLCF1	23529
GPRC5A	9052
PIK3R3	8503
KLF4	9314
CREM	1390
IL1B	3553
ADAMTS4	9507
TMEM100	55273
PPP1R3C	5507
TFPI2	7980
ADAMTS1	9510
RNF152	220441
SMOX	54498
APOLD1	81575
ABCG1	9619
TGFA	7039
DOCK8	81704
ATG101	60673
HERPUD1	9709
CCNH	902
CH507-42P11.8	102724428
RP11-78A19.3	109729129
LINC00161	118421
LINC00313	114038
